PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Florida,20121106,N/A,PINELLAS,County,"457,702","213,258","Romney, W. Mitt",Challenger,"239,104","Obama, Barack H.",Incumbent,Libertarian,"3,329","Johnson, Gary E.",Challenger,"2,011","25,846",D,46.59,52.24,.73,.44,47.14,52.86,"The other vote was: Hoefling, Thomas (American Independent) 48; Barr, Roseanne (Peace and Freedom) 612; Stevens, Thomas Robert (Objectivist) 238; Barnett, Andre (Reform) 41; Lindsay, Peta (Socialism and Liberation) 20; Stein, Jill (Green) 718; Goode, Virgil H. Jr. (Write-in) 177; Scattered Write-In (Write-in) 5; Anderson, Ross C. (Justice) 107; Alexander, Stewart (Socialist) 45",,"The other vote was: Hoefling, Thomas (American Independent) 48; Barr, Roseanne (Peace and Freedom) 612; Stevens, Thomas Robert (Objectivist) 238; Barnett, Andre (Reform) 41; Lindsay, Peta (Socialism and Liberation) 20; Stein, Jill (Green) 718; Goode, Virgil H. Jr. (Write-in) 177; Scattered Write-In (Write-in) 5; Anderson, Ross C. (Justice) 107; Alexander, Stewart (Socialist) 45"
President,Florida,20121106,N/A,POLK,County,"248,683","131,577","Romney, W. Mitt",Challenger,"114,622","Obama, Barack H.",Incumbent,Libertarian,"1,446","Johnson, Gary E.",Challenger,"1,038","16,955",R,52.91,46.09,.58,.42,53.44,46.56,"The other vote was: Hoefling, Thomas (American Independent) 39; Barr, Roseanne (Peace and Freedom) 396; Stevens, Thomas Robert (Objectivist) 148; Barnett, Andre (Reform) 30; Lindsay, Peta (Socialism and Liberation) 15; Stein, Jill (Green) 250; Goode, Virgil H. Jr. (Write-in) 78; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 64; Alexander, Stewart (Socialist) 17",,"The other vote was: Hoefling, Thomas (American Independent) 39; Barr, Roseanne (Peace and Freedom) 396; Stevens, Thomas Robert (Objectivist) 148; Barnett, Andre (Reform) 30; Lindsay, Peta (Socialism and Liberation) 15; Stein, Jill (Green) 250; Goode, Virgil H. Jr. (Write-in) 78; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 64; Alexander, Stewart (Socialist) 17"
President,Florida,20121106,N/A,PUTNAM,County,"31,324","19,326","Romney, W. Mitt",Challenger,"11,667","Obama, Barack H.",Incumbent,Libertarian,144,"Johnson, Gary E.",Challenger,187,"7,659",R,61.70,37.25,.46,.60,62.36,37.64,"The other vote was: Hoefling, Thomas (American Independent) 8; Barr, Roseanne (Peace and Freedom) 56; Stevens, Thomas Robert (Objectivist) 23; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 57; Goode, Virgil H. Jr. (Write-in) 22; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 8; Barr, Roseanne (Peace and Freedom) 56; Stevens, Thomas Robert (Objectivist) 23; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 57; Goode, Virgil H. Jr. (Write-in) 22; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 2"
President,Florida,20121106,N/A,SANTA ROSA,County,"76,846","58,186","Romney, W. Mitt",Challenger,"17,768","Obama, Barack H.",Incumbent,Libertarian,605,"Johnson, Gary E.",Challenger,287,"40,418",R,75.72,23.12,.79,.37,76.61,23.39,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 84; Stevens, Thomas Robert (Objectivist) 33; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 84; Goode, Virgil H. Jr. (Write-in) 57; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 5",,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 84; Stevens, Thomas Robert (Objectivist) 33; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 84; Goode, Virgil H. Jr. (Write-in) 57; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 5"
President,Florida,20121106,N/A,SARASOTA,County,"207,480","110,504","Romney, W. Mitt",Challenger,"95,119","Obama, Barack H.",Incumbent,Libertarian,"1,092","Johnson, Gary E.",Challenger,765,"15,385",R,53.26,45.84,.53,.37,53.74,46.26,"The other vote was: Hoefling, Thomas (American Independent) 26; Barr, Roseanne (Peace and Freedom) 253; Stevens, Thomas Robert (Objectivist) 88; Barnett, Andre (Reform) 10; Lindsay, Peta (Socialism and Liberation) 6; Stein, Jill (Green) 284; Goode, Virgil H. Jr. (Write-in) 39; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 46; Alexander, Stewart (Socialist) 13",,"The other vote was: Hoefling, Thomas (American Independent) 26; Barr, Roseanne (Peace and Freedom) 253; Stevens, Thomas Robert (Objectivist) 88; Barnett, Andre (Reform) 10; Lindsay, Peta (Socialism and Liberation) 6; Stein, Jill (Green) 284; Goode, Virgil H. Jr. (Write-in) 39; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 46; Alexander, Stewart (Socialist) 13"
President,Florida,20121106,N/A,SEMINOLE,County,"208,620","109,943","Romney, W. Mitt",Challenger,"96,445","Obama, Barack H.",Incumbent,Libertarian,"1,604","Johnson, Gary E.",Challenger,628,"13,498",R,52.70,46.23,.77,.30,53.27,46.73,"The other vote was: Hoefling, Thomas (American Independent) 24; Barr, Roseanne (Peace and Freedom) 140; Stevens, Thomas Robert (Objectivist) 68; Barnett, Andre (Reform) 18; Lindsay, Peta (Socialism and Liberation) 10; Stein, Jill (Green) 229; Goode, Virgil H. Jr. (Write-in) 72; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 53; Alexander, Stewart (Socialist) 14",,"The other vote was: Hoefling, Thomas (American Independent) 24; Barr, Roseanne (Peace and Freedom) 140; Stevens, Thomas Robert (Objectivist) 68; Barnett, Andre (Reform) 18; Lindsay, Peta (Socialism and Liberation) 10; Stein, Jill (Green) 229; Goode, Virgil H. Jr. (Write-in) 72; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 53; Alexander, Stewart (Socialist) 14"
President,Florida,20121106,N/A,ST. JOHNS,County,"114,795","78,513","Romney, W. Mitt",Challenger,"35,190","Obama, Barack H.",Incumbent,Libertarian,747,"Johnson, Gary E.",Challenger,345,"43,323",R,68.39,30.65,.65,.30,69.05,30.95,"The other vote was: Hoefling, Thomas (American Independent) 7; Barr, Roseanne (Peace and Freedom) 80; Stevens, Thomas Robert (Objectivist) 36; Barnett, Andre (Reform) 5; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 147; Goode, Virgil H. Jr. (Write-in) 35; Scattered Write-In (Write-in) 2; Anderson, Ross C. (Justice) 20; Alexander, Stewart (Socialist) 11",,"The other vote was: Hoefling, Thomas (American Independent) 7; Barr, Roseanne (Peace and Freedom) 80; Stevens, Thomas Robert (Objectivist) 36; Barnett, Andre (Reform) 5; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 147; Goode, Virgil H. Jr. (Write-in) 35; Scattered Write-In (Write-in) 2; Anderson, Ross C. (Justice) 20; Alexander, Stewart (Socialist) 11"
President,Florida,20121106,N/A,ST. LUCIE,County,"123,027","56,202","Romney, W. Mitt",Challenger,"65,869","Obama, Barack H.",Incumbent,Libertarian,521,"Johnson, Gary E.",Challenger,435,"9,667",D,45.68,53.54,.42,.35,46.04,53.96,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 147; Stevens, Thomas Robert (Objectivist) 66; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 9; Stein, Jill (Green) 115; Goode, Virgil H. Jr. (Write-in) 33; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 32; Alexander, Stewart (Socialist) 10",,"The other vote was: Hoefling, Thomas (American Independent) 11; Barr, Roseanne (Peace and Freedom) 147; Stevens, Thomas Robert (Objectivist) 66; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 9; Stein, Jill (Green) 115; Goode, Virgil H. Jr. (Write-in) 33; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 32; Alexander, Stewart (Socialist) 10"
President,Florida,20121106,N/A,SUMTER,County,"60,479","40,646","Romney, W. Mitt",Challenger,"19,524","Obama, Barack H.",Incumbent,Libertarian,162,"Johnson, Gary E.",Challenger,147,"21,122",R,67.21,32.28,.27,.24,67.55,32.45,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 45; Stevens, Thomas Robert (Objectivist) 23; Barnett, Andre (Reform) 1; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 49; Goode, Virgil H. Jr. (Write-in) 14; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 4",,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 45; Stevens, Thomas Robert (Objectivist) 23; Barnett, Andre (Reform) 1; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 49; Goode, Virgil H. Jr. (Write-in) 14; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 4"
President,Florida,20121106,N/A,SUWANNEE,County,"17,629","12,672","Romney, W. Mitt",Challenger,"4,751","Obama, Barack H.",Incumbent,Libertarian,98,"Johnson, Gary E.",Challenger,108,"7,921",R,71.88,26.95,.56,.61,72.73,27.27,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 41; Stevens, Thomas Robert (Objectivist) 15; Barnett, Andre (Reform) 6; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 25; Goode, Virgil H. Jr. (Write-in) 10; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 3",,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 41; Stevens, Thomas Robert (Objectivist) 15; Barnett, Andre (Reform) 6; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 25; Goode, Virgil H. Jr. (Write-in) 10; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 3"
President,Florida,20121106,N/A,TAYLOR,County,"9,120","6,249","Romney, W. Mitt",Challenger,"2,764","Obama, Barack H.",Incumbent,Libertarian,61,"Johnson, Gary E.",Challenger,46,"3,485",R,68.52,30.31,.67,.50,69.33,30.67,"The other vote was: Hoefling, Thomas (American Independent) 4; Barr, Roseanne (Peace and Freedom) 23; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 1; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 7; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 0",,"The other vote was: Hoefling, Thomas (American Independent) 4; Barr, Roseanne (Peace and Freedom) 23; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 1; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 7; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 0"
President,Florida,20121106,N/A,UNION,County,"5,393","3,980","Romney, W. Mitt",Challenger,"1,339","Obama, Barack H.",Incumbent,Libertarian,27,"Johnson, Gary E.",Challenger,47,"2,641",R,73.80,24.83,.50,.87,74.83,25.17,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 22; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 0",,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 22; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 0"
President,Florida,20121106,N/A,VOLUSIA,County,"234,536","117,490","Romney, W. Mitt",Challenger,"114,748","Obama, Barack H.",Incumbent,Libertarian,"1,363","Johnson, Gary E.",Challenger,935,"2,742",R,50.09,48.93,.58,.40,50.59,49.41,"The other vote was: Hoefling, Thomas (American Independent) 32; Barr, Roseanne (Peace and Freedom) 310; Stevens, Thomas Robert (Objectivist) 111; Barnett, Andre (Reform) 23; Lindsay, Peta (Socialism and Liberation) 11; Stein, Jill (Green) 266; Goode, Virgil H. Jr. (Write-in) 94; Scattered Write-In (Write-in) 4; Anderson, Ross C. (Justice) 60; Alexander, Stewart (Socialist) 24",,"The other vote was: Hoefling, Thomas (American Independent) 32; Barr, Roseanne (Peace and Freedom) 310; Stevens, Thomas Robert (Objectivist) 111; Barnett, Andre (Reform) 23; Lindsay, Peta (Socialism and Liberation) 11; Stein, Jill (Green) 266; Goode, Virgil H. Jr. (Write-in) 94; Scattered Write-In (Write-in) 4; Anderson, Ross C. (Justice) 60; Alexander, Stewart (Socialist) 24"
President,Florida,20121106,N/A,WAKULLA,County,"14,660","9,290","Romney, W. Mitt",Challenger,"5,175","Obama, Barack H.",Incumbent,Libertarian,112,"Johnson, Gary E.",Challenger,83,"4,115",R,63.37,35.30,.76,.57,64.22,35.78,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 34; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 5; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 14; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 3",,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 34; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 5; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 14; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 3"
President,Florida,20121106,N/A,WALTON,County,"28,494","21,490","Romney, W. Mitt",Challenger,"6,671","Obama, Barack H.",Incumbent,Libertarian,205,"Johnson, Gary E.",Challenger,128,"14,819",R,75.42,23.41,.72,.45,76.31,23.69,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 46; Stevens, Thomas Robert (Objectivist) 18; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 35; Goode, Virgil H. Jr. (Write-in) 15; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 8; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 46; Stevens, Thomas Robert (Objectivist) 18; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 35; Goode, Virgil H. Jr. (Write-in) 15; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 8; Alexander, Stewart (Socialist) 2"
President,Florida,20121106,N/A,WASHINGTON,County,"10,999","8,038","Romney, W. Mitt",Challenger,"2,820","Obama, Barack H.",Incumbent,Libertarian,56,"Johnson, Gary E.",Challenger,85,"5,218",R,73.08,25.64,.51,.77,74.03,25.97,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 39; Stevens, Thomas Robert (Objectivist) 18; Barnett, Andre (Reform) 6; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 9; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 4",,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 39; Stevens, Thomas Robert (Objectivist) 18; Barnett, Andre (Reform) 6; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 9; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 4"
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,Florida,"8,474,179","4,163,447","4,237,756","44,726","28,250","74,309",D,"74,309",D,49.13,50.01,.53,.33,49.56,50.44
,
,
,
